,productname,brand,chipmanu,gpuclockspeed_ghz,gpuclockspeed_mhz,memspeed_ghz,memspeed_mhz,ramsize_gb,ramsize_mb,iw_oz,iw_lbs,length,width,height,numreviews,price
0,"ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, LHR, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot, Super Alloy Power II, GPU Tweak II)",ASUS,NVIDIA,1.89,1890.0,4.0,4000.0,12,12000,62.4,3.9,12.53,5.51,2.27,143,800
1,"Sapphire 11310-01-20G Pulse AMD Radeon RX 6600 Gaming Graphics Card with 8GB GDDR6, AMD RDNA 2",SAPPHIRE,AMD,2.491,2491.0,16.0,16000.0,8,8000,25.44,1.59,10.5,6.5,2.5,212,250
2,"ASUS NVIDIA GeForce GT 730 Graphics Card (PCIe 2.0, 2GB GDDR5 Memory, 4X HDMI Ports, Single-Slot Design, Passive Cooling)",ASUS,NVIDIA,0.902,902.0,5.01,5010.0,2,2000,15.2,0.95,5.8,4.1,0.7,12,85
3,"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II)",ASUS,NVIDIA,1.882,1882.0,1.882,1882.0,12,12000,38.4,2.4,11.81,5.63,2.13,2,490
4,MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super VENTUS XS OC),MSI,NVIDIA,1.785,1785.0,14.0,14000.0,6,6000,23.52,1.47,8.0,1.7,5.0,1678,249
5,ASUS GeForce GTX 1050 Ti 4GB Phoenix Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050TI-4G) Graphic Cards,ASUS,NVIDIA,1.392,1392.0,1.392,1392.0,4,4000,19.2,1.2,7.6,1.5,4.4,3092,184
8,"ZOTAC Gaming GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600K-10M",ZOTAC,NVIDIA,1.785,1785.0,1.785,1785.0,6,6000,34.88,2.18,8.5,1.39,4.38,2102,218
9,MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP 1710 MHz Boost Clock Ray Tracing Turing Architecture VR Ready Graphics Card (RTX 2060 Ventus GP OC),MSI,NVIDIA,1.71,1710.0,1.71,1710.0,6,6000,26.88,1.68,9.1,1.7,5.0,341,275
10,"ZOTAC GAMING GeForce RTX™ 3060 AMP White Edition 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, Freeze Fan Stop ZT-A30600F-10P",ZOTAC,NVIDIA,1.867,1867.0,1.867,1867.0,12,12000,35.2,2.2,9.1,5.6,1.6,183,400
11,MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC),MSI,NVIDIA,1.71,1710.0,1.807,1807.0,12,12000,35.52,2.22,9.3,1.7,4.9,597,370
